id,title,description,link,image_link,availability,price,brand,identifier_exists,
SDH8886-281,Hendrix Butterfly & Floral Tissue Box,A jeweled butterfly gently perches on the flower and leaf engraved inner ring on the Hendrix tissue holder. Hand polished pewter finished in 18K Gold with painted washes of blush and opal pink enamels accentuating the fine textures of the design. Gently twinkling with hand-set Swarovski crystals in shades of silk - antique rose and opal. Metal crafted at the Jay Strongwater Rhode Island workshop with a cream glazed ceramic box and fine crackle finish from Portugal.,https://www.jaystrongwater.com/vanity/hendrix-butterfly-floral-tissue-box-sdh8886-281,https://www.jaystrongwater.com/img/product/SDH8886-281_1-Z.jpg?fv=2551B1C2980FEF9A9C9D8230187EDFEB-48801,In Stock,795,Jay Strongwater,no,
SCB8411-250,Schuyler Maltese Bejeweled Compact,Glamour is personified in our Schuyler Maltese Bejeweled Compact. Treat yourself to a little luxury to carry with you every day - shimmering with iridescent enamel and delicate hand-set crystals. ,https://www.jaystrongwater.com/wedding-1/schuyler-maltese-bejeweled-compact-scb8411-250,https://www.jaystrongwater.com/img/product/SCB8411-250_2-Z.jpg?fv=C1E6ECF9264F12FF415828C18F5FFA62-107887,In Stock,160,Jay Strongwater,no,
SPF5757-232,Ferdinand Peacock Feather 5in x 7in Frame,Jeweled peacock feathers surround the Ferdinand Peacock Frame with an elegant glamour. Casted in pewter - finished in 14K Gold - each peacock feather is hand-painted in translucent golden enamels and hand-set with over eighteen hundred Swarovski crystals in shades of Champagne - Topaz with special pear-cut stones at the center of each feather eye. Our finest artisans at the Jay Strongwater Rhode Island workshop bring all the elements together to make each frame. With our signature - pierced back plate and kickstand – this frame is truly beautiful from any view.  Stands vertically or horizontal.,https://www.jaystrongwater.com/wedding-1/ferdinand-peacock-feather-5-x-7-frame-spf5757-232,https://www.jaystrongwater.com/img/product/SPF5757-232_1-Z.jpg?fv=F8669D1A581751853F088F2943469DC8-113330,In Stock,1875,Jay Strongwater,no,
SDH2436-295,Jessa Vine Floral Small Bowl,With gilded grace - this lusciously handmade treasure is designed to be cherished. Lush - exuberant florals are hand-painted in mixed metallics on fluted - gold-edged glassware from Poland. Each Jessa Vine Floral Small Bowl is decorated by hand and set with sparkling Swarovski® crystals.,https://www.jaystrongwater.com/wedding-1/jessa-vine-floral-small-bowl-sdh2436-295,https://www.jaystrongwater.com/img/product/SDH2436-295_1-Z.jpg?fv=E7CA0D76D2B0E8E1C76BFC5837CF87DF-53450,In Stock,195,Jay Strongwater,no,
SDH2390-256,Juliet Butterfly Trinket Tray,The watercolor-enameled wings of our Juliet Butterfly Trinket Tray cradle your treasures. Hand-detailed in vivid enamel and crystals.,https://www.jaystrongwater.com/vanity/juliet-butterfly-trinket-tray-sdh2390-256,https://www.jaystrongwater.com/img/product/SDH2390-256_1-Z.jpg?fv=CB8E5C3D2687F3C2DCFAE21403D1E2A8-54058,In Stock,206.25,Jay Strongwater,no,
SDH2410-289,Floral Oval Tray,This Floral Tray is the perfect setting for your perfume bottles - vanity jars and assorted trinkets. The talent of our finest artisans at the Jay Strongwater Rhode Island workshop truly shines. ,https://www.jaystrongwater.com/vanity/floral-oval-tray-sdh2410-289,https://www.jaystrongwater.com/img/product/SDH2410-289_w-Z.jpg?fv=EE3103BC1CCA6103466FB0FD44FCA27C-43056,In Stock,2250,Jay Strongwater,no,
SDH2452-292,Erin Leaf & Vine Gilded Large Glass Jar, Make an Erin Leaf & Vine Gilded Large Glass Jar part of an opulent cornucopia celebrating the start of a fruitful holiday season. Your table will be overflowing when accented with an exuberant mix of our golden decor—each piece mouth-blown in gold-shaded glass.,https://www.jaystrongwater.com/vanity/erin-leaf-vine-gilded-large-glass-jar-sdh2452-292,https://www.jaystrongwater.com/img/product/SDH2452-292_alt-Z.jpg?fv=0A365D53FAB54EFC3D4C8E88E582B1AD-90785,In Stock,1100,Jay Strongwater,no,
SDH7389-289,Clara Floral Branch Box, A lavish bouquet of flowers and leaves are draped over the long porcelain Clara box alighted with a jeweled butterfly. Casted in pewter - finished in 18K gold and beautifully painted in shades of magenta - plum and lilac enamels by our finest artisans in Rhode Island. This box sparkles with hand-set Swarovski crystals. Cream glazed porcelain with a high-fired gold edging crafted in Portugal.,https://www.jaystrongwater.com/brocade-1/clara-floral-branch-box-sdh7389-289,https://www.jaystrongwater.com/img/product/SDH7389-289_alt1-Z.jpg?fv=679AF0AE47BA69DBFF2D72A42B80F361-44690,In Stock,900,Jay Strongwater,no,
SHW3303-450,Sophia Floral Dining Table, The Sophia Floral Dining Table began at a specialized foundry in Asia where iron rods are hammered - curled - and soldered to form the elaborate top and graceful curved legs. In Rhode Island - individual orchid - peony - tulip - and butterflies are casted in pewter and finished in 14K gold. The Jay Strongwater artisans in Rhode Island paint the garden palette of 23 enamel colors - highlighted with hand-set Swarovski crystals. Our finest artisans bring all the elements together to make each dining table - a fascinating composition of flora under the beveled glass top.,https://www.jaystrongwater.com/furnishings/sophia-floral-dining-table-shw3303-450,https://www.jaystrongwater.com/img/product/SHW3303-450-Z.jpg?fv=7FBA5E26E8B5ADADE13B65FDB73B0036-68201,In Stock,24000,Jay Strongwater,no,
SJ9303-292,Gilded Chinoiserie Post Earrings,Delicately carved details in polished - hand-plated 14K gold turn these Gilded Chinoiserie Post Earrings into your own personal talismans to treasure and wear each day. Simply beautiful - and sparkling with hand-set Swarovski® crystals.,https://www.jaystrongwater.com/wedding-1/gilded-chinoiserie-post-earrings-sj9303-292,https://www.jaystrongwater.com/img/product/SJ9303-292_1-Z.jpg?fv=3649DD708CD73D3B2ADF999C3C7783B6-83878,In Stock,115,Jay Strongwater,no,
SDH1837-256,Ganesha Ganesh Figurine, Glorious icons exemplify the best of Jay Strongwater - flawless craftsmanship from our Rhode Island artisans - to be shared with generations to come. The Ganesh Figurine was lovingly carved - first in clay to capture the fluid draping and exotic details and then in solid pewter with a 14K gold finish and further embellished with hundreds of tiny sparkling crystals. Layers of transparent enamel are finely applied in tones of marigold - crimson - aqua and lime. The Ganesh figurine is attached to a carved faceted white marble base lifted on small metal legs. Limited to an edition of 50.,https://www.jaystrongwater.com/luxe/ganesha-ganesh-figurine-sdh1837-256,https://www.jaystrongwater.com/img/product/SDH1837-256-Z.jpg?fv=E0771B955477446DD90986DFAC7EBD54-85821,In Stock,10000,Jay Strongwater,no,
SDH8869-284,Hartley Floral Scroll Tissue Holder,Gracious accessories to beautifully finish your home in quintessential Jay Strongwater style. The indigo-lacquered Hartley Floral Scroll Tissue Holder is crowned with a jeweled floral top in delft garden hues.,https://www.jaystrongwater.com/vanity/hartley-floral-scroll-tissue-holder-sdh8869-284,https://www.jaystrongwater.com/img/product/SDH8869-284_1-Z.jpg?fv=D7A5518DA4F667610B264DAAF5CB5405-54765,In Stock,995,Jay Strongwater,no,
SDH2517-289,Elva Butterfly and Leaf  Vase, A lavish spray of leaves holding the rippled glass vase is alighted with jeweled fluttering butterflies. Each Elva Butterfly and Leaf vase is first sand casted in brass and then adorned with the 18K gold finished butterflies. Our artisans in Rhode Island hand-paint the leaves in shades of green and deep lavender enamel while painting the butterflies in golden ambers. Hand-set with golden Swarovski crystals. Beautiful filled with flowers or illuminated with a pillar candle.,https://www.jaystrongwater.com/brocade-1/elva-butterfly-and-leaf-vase-sdh2517-289,https://www.jaystrongwater.com/img/product/SDH2517-289-Z.jpg?fv=946087D9BA468B61FCAADC1C45D342DE-85486,In Stock,3300,Jay Strongwater,no,
SDH8868-281,Rosabel Floral and Scroll Apothocary Jar, Inspired by an antique Art Nouveau mirror - this stunning jar is crowned by a sweeping motion of romantic flowers.,https://www.jaystrongwater.com/vanity/rosabel-floral-and-scroll-apothocary-jar-sdh8868-281,https://www.jaystrongwater.com/img/product/SDH8868-281_w-Z.jpg?fv=6BAC1C0A9F3724BFC1A8635EB7ED5A05-44752,In Stock,1600,Jay Strongwater,no,
SCB8070-272,Christine Frog and Bud Compact, A very personal expression of our craftsmanship to behold and use every day. The Christine Frog and Bud Compact features a stunning display of a green Lilly pad and adorable adornment of a small frog atop a pink and crème colored compact. The compact opens to reveal both a regular and magnifying mirror on the inside. ,https://www.jaystrongwater.com/vanity/christine-frog-and-bud-compact-scb8070-272,https://www.jaystrongwater.com/img/product/SCB8070-272_w-Z.jpg?fv=3006F8D2DBD0B88E9FC9933E754DF8C3-73629,In Stock,112.50,Jay Strongwater,no,
SDH2518-283,Quentin Snake Bowl, In the Composition collection - we put aside our enamels and crystals and allow the natural beauty of the carved metals to shine through. An undulating 18K gold finished snake – engraved with a stripe pattern - is perfectly perched on the rim of the Quentin Snake Bowl. Snake casted in pewter and hand-polished from our artisans in Rhode Island. Imported hand-cut and polished white marble bowl.,https://www.jaystrongwater.com/vanity/quentin-snake-bowl-sdh2518-283,https://www.jaystrongwater.com/img/product/SDH2518-283-Z.jpg?fv=E30165E6F7BCA9DD02EE0278993E45B4-38760,In Stock,695,Jay Strongwater,no,
SDH6584-232,Tessa Golden Bejeweled Tealight, Accent your decor with the exquisite details of our Tessa Bejeweled Tealight. Golden hues are embellished with vibrant - hand-enameled metal accents in golden jewel tones. ,https://www.jaystrongwater.com/great-gifts-1/tessa-golden-bejeweled-tealight-sdh6584-232,https://www.jaystrongwater.com/img/product/SDH6584-232_w-Z.jpg?fv=C532E31D8928942746BA3435E07208AF-73262,In Stock,325,Jay Strongwater,no,
SDH7395-283,Xavier Snake Box, In the Composition collection - we put aside our enamels and crystals and allow the natural beauty of the carved metals to shine through. A coiled 18K gold finished snake – engraved with a stripe pattern - is perfectly perched on the lid of the Xavier Snake Box. Snake casted in pewter and hand-polished from our artisans in Rhode Island. Imported hand-cut and polished white marble box.,https://www.jaystrongwater.com/vanity/xavier-snake-box-sdh7395-283,https://www.jaystrongwater.com/img/product/SDH7395-283-Z.jpg?fv=6B20B1D8062503C477A39C6AE1324C35-47383,In Stock,650,Jay Strongwater,no,
SCB8077-202,Bette Eye Compact, The Bette Eye Compact is the quintessential Hollywood glamour accessory! How chic to hold this bright fuchsia enameled compact with its bewitching jeweled eye with dazzling crystals. Gently push the jeweled button closure and reveal two mirrors to make sure you always look gorgeous. ,https://www.jaystrongwater.com/great-gifts-1/bette-eye-compact-scb8077-202,https://www.jaystrongwater.com/img/product/SCB8077-202_small-Z.jpg?fv=20AED525F02D1679B2D39113242F570F-72661,In Stock,225,Jay Strongwater,no,
SHW3324-450,Josephine Floral Side Table, The Josephine Floral Side Table began at a specialized foundry in Asia where iron rods are hammered - curled - and soldered to form the elaborate top and graceful curved legs. In Rhode Island - individual orchid - peony - tulip - and butterflies are casted in pewter and finished in 14K gold. The Jay Strongwater artisans in Rhode Island paint the garden palette of 20 enamel colors - highlighted with hand-set Swarovski crystals. Our finest artisans bring all the elements together to make each side table - a fascinating composition of flora under the beveled glass top.,https://www.jaystrongwater.com/furnishings/josephine-floral-side-table-shw3324-450,https://www.jaystrongwater.com/img/product/SHW3324-450-Z.jpg?fv=4A959C426ABB2DB8A0DCEBBDC4891097-100201,In Stock,12000,Jay Strongwater,no,
SDH6584-250,Tessa Jewel Bejeweled Tealight, Accent your decor with the exquisite details of our Tessa Bejeweled Tealight. Rich jewel hues are embellished with vibrant - metal accents in jewel tones. ,https://www.jaystrongwater.com/great-gifts-1/tessa-jewel-bejeweled-tealight-sdh6584-250,https://www.jaystrongwater.com/img/product/SDH6584-250_w-Z.jpg?fv=4D3DACA7516D492E21B4B0081DC56160-75359,In Stock,325,Jay Strongwater,no,
SCB8076-281,Angela Round Floral Compact,A very personal expression of our craftsmanship to behold and use every day. Angela’s flower petals are hand-painted in blush pink and opal enamels set with glimmering light rose crystals. The compact opens to reveal both a regular and magnifying mirror on the inside.,https://www.jaystrongwater.com/vanity/angela-round-floral-compact-scb8076-281,https://www.jaystrongwater.com/img/product/SCB8076-281_1-Z.jpg?fv=9794CD642EC2D83E7821171E8E3A3C43-84190,In Stock,146.25,Jay Strongwater,no,
SDH6634-256,Holland Leaf and Flower Vase, This gracefully proportioned Holland Vase holds a beautiful bouquet and makes the perfect gift! Cream speckled glass vase wrapped in a bright garland of jeweled metal flowers. Hand-painted in scarlet - daffodil and lilac enamel with hand-set sparkling crystals.,https://www.jaystrongwater.com/great-gifts-1/holland-leaf-and-flower-vase-sdh6634-256,https://www.jaystrongwater.com/img/product/SDH6634-256_alt2-Z.jpg?fv=C39AE65383B6920676096815AC8626A9-70890,In Stock,296.25,Jay Strongwater,no,
SDH1884-280,Nelson Crane on Lily Pad Figurine,Spectacular - standing more than two feet tall on a lily-pad base and hand-set with more than three thousand Swarovski crystals in shades of Topaz and White Opal. Hand-painted in creamy golden enamels with pale copper-toned accents. The mold is forged in metal at our foundry in India using the original clay model - and later embellished with enamels and crystals at the Jay Strongwater Rhode Island workshop.,https://www.jaystrongwater.com/masterpieces-1/nelson-crane-on-lily-pad-figurine-sdh1884-280,https://www.jaystrongwater.com/img/product/SDH1884-280_1-Z.jpg?fv=84E42941EB6DDB372DD4F9198268DAD4-67744,In Stock,6500,Jay Strongwater,no,
SCB8078-273,Monroe Lip Compact, Show them how much you love them with our jeweled Monroe Lip Compact! Luscious red enameled lips with Ruby crystals from Swarovski pave set on a jet black enameled compact.  Gently push the jeweled button closure and reveal two mirrors to make sure you always look gorgeous.,https://www.jaystrongwater.com/great-gifts-1/monroe-lip-compact-scb8078-273,https://www.jaystrongwater.com/img/product/SCB8078-273_small-Z.jpg?fv=9C5FE703AE6E0A6E6683097AA15A1988-76482,In Stock,175,Jay Strongwater,no,
SDH2520-602,Roy WOW Trinket Tray, With a wink and a nod to cartoon funnies this Roy Wow Trinket Tray lands a punch with vivid enamels - lots of Swarovski crystal bling and a bold shape. Hand polished pewter - finished in silver with hand-painted enamels on both sides. ,https://www.jaystrongwater.com/great-gifts-1/roy-wow-trinket-tray-sdh2520-602,https://www.jaystrongwater.com/img/product/SDH2520-202_alt1-Z.jpg?fv=6FCB5CB6D4A9D9F900E2C71605F454D9-126018,In Stock,450,Jay Strongwater,no,
SDH8861-281,Veronique Floral and Scroll Mirror Tray, Inspired by an antique Art Nouveau mirror - this mirror tray features a sweeping motion of romantic flowers adorning the edges of the large beveled glass mirror tray.,https://www.jaystrongwater.com/vanity/veronique-floral-and-scroll-mirror-tray-sdh8861-281,https://www.jaystrongwater.com/img/product/SDH8861-281_w-Z.jpg?fv=25D9437DD472EAE9BDBCF7C1A5674FB9-43117,In Stock,2800,Jay Strongwater,no,
SDH1896-280,Ashab Arabian Horse Figurine,Caught mid-gallop on a beveled black marble base with his mane blowing in the wind and every muscle at attention - the level of detail highlights his awe-inspiring craftsmanship. The Ashab Arabian Horse Figurine is forged in pewter with 14K gold finish in Rhode Island. Translucent enamels painted in Rhode Island with hand-set Swarovski® crystals.Engraved with the number in the limited edition of 300.,https://www.jaystrongwater.com/view-all-figurines/ashab-arabian-horse-figurine-sdh1896-280,https://www.jaystrongwater.com/img/product/SDH1896-280_1-Z.jpg?fv=F3E6142856A6D73DD6A3F22175017202-70963,In Stock,6800,Jay Strongwater,no,
SDH1881-270,Amadine Golden Pheasant Figurine,Our Amadine Golden Pheasant Figurine stands majestically in a graphically appealing silhouette. 18K-gold-dipped metal - hand-set with sparkling Swarovski® crystals and finished with luminous enamels in jet - crystal - and pearl hues.,https://www.jaystrongwater.com/view-all-figurines/amadine-golden-pheasant-figurine-sdh1881-270,https://www.jaystrongwater.com/img/product/SDH1881-270_1-Z.jpg?fv=B6655DF437835ED8962772D6687AF908-126215,In Stock,18000,Jay Strongwater,no,
SHW3299-450,Everett Floral & Scroll Coffee Table,The Everett Floral & Scroll Coffee Table began at a specialized foundry in Asia where iron rods are hammered - curled - and soldered to form the elaborate top and graceful curved legs. In Rhode Island - individual orchid - peony - tulip - and butterflies are casted in pewter and finished in 14K Gold. The Jay Strongwater artisans in Rhode Island paint the garden palette of enamels on each piece - highlighted with over fifteen hundred Swarovski crystals. Our finest artisans bring all the elements together to make each coffee table - a fascinating composition of flora under the beveled glass top.,https://www.jaystrongwater.com/view-all-figurines/everett-floral-scroll-coffee-table-shw3299-450,https://www.jaystrongwater.com/img/product/SHW3299-450_1-Z.jpg?fv=62FA37A6217E92FF0D37D1912D116E71-43962,In Stock,18000,Jay Strongwater,no,
SDH1860-256,Goodwin Mille Fiori Giraffe Figurine,An abundance of miniature flowers blankets our whimsical - long-necked Goodwin Mille Fiori Giraffe figurine.,https://www.jaystrongwater.com/masterpieces-1/goodwin-mille-fiori-giraffe-figurine-sdh1860-256,https://www.jaystrongwater.com/img/product/SDH1860-256_1-Z.jpg?fv=889BEE45735507C9F9998DD3C69BD29F-78020,In Stock,1350,Jay Strongwater,no,
SDH2462-270,Monroe Tiger Head Objet,The grace and beauty of the exotic Monroe Tiger Head Objet captivates - with his dazzling blue eyes surrounded by more than 10 - 000 Swarovski® crystals in shades of opal - black diamond - and jet. Metal forged in India; painted with enamels and hand-set with stones by our finest artisans in Rhode Island.,https://www.jaystrongwater.com/view-all-figurines/monroe-tiger-head-objet-sdh2462-270,https://www.jaystrongwater.com/img/product/SDH2462-270_1-Z.jpg?fv=F7EB5472DAAE332CC71C65D00117E37F-94500,In Stock,16000,Jay Strongwater,no,
SPF5830-202,Leonard Pave Corner  4in x 6in Frame, The art of meticulously hand blending ten colors of enamel paints a vivid rainbow around the Leonard Pave Corner Frame. Casted in pewter - finished in 14K gold - and hand-set with sparkling Swarovski champagne crystals. With our signature - all cream enamel back plate – this frame is truly beautiful from any view. ,https://www.jaystrongwater.com/great-gifts-1/leonard-pave-corner-4-x-6-frame-spf5830-202,https://www.jaystrongwater.com/img/product/SPF5830-202-Z.jpg?fv=449E99FB8FAB546A5B49033E22BC5A90-82321,In Stock,395,Jay Strongwater,no,
SDH1856-269,Namoko Fighting Fish Figurine,Celebrating 20 years of fabulousness! In 2015 - Jay Strongwater proudly celebrated our 20th year with a collection of five iconic designs - each in a limited edition of 20. You could almost say this collection has been 20 years in the making - as each piece encompasses all the craftsmanship - superlative materials - and dazzling beauty we are so passionate about.The exotic never fails to captivate our imagination with alluring silhouettes and striking colors. Our solid brass fish has gently rippling fins and pierced scales - hand-painted in sheer enamels in ombré tones of gray moonstone - pearl - and gold - and shimmering with more than 13 - 000 Swarovski® crystals in black diamond - opal - jet - and gold aurum hues. The brass is poured in India - then enameled and hand-set with crystals in the Jay Strongwater Rhode Island workshop.,https://www.jaystrongwater.com/view-all-figurines/namoko-fighting-fish-figurine-sdh1856-269,https://www.jaystrongwater.com/img/product/SDH1856-269_1-Z.jpg?fv=2F61B13F05E1861BD983FC808779867F-90961,In Stock,18000,Jay Strongwater,no,
SDH7317-284,Genevieve Grand Floral Chest,A profusion of tulips - irises - and peonies adorn the Genevieve Grand Floral Chest. A celebration of craftsmanship - this design began in our New York studio by carving each of the thirty flowers blooming on the lid. A delicate lace pattern of leaves forms the sides of the box. In total - twenty separate metal castings are soldered together to form the piece. Finished in antiqued - hand-rubbed brass - with delicately applied enamels; each box is the result of many talented artisans in our New York workshop working for weeks. In the final stage - more than 1600 crystals in delft garden shades are individually hand-set.,https://www.jaystrongwater.com/view-all-figurines/genevieve-grand-floral-chest-sdh7317-284,https://www.jaystrongwater.com/img/product/SDH7317-284_1-Z.jpg?fv=774BE052A4F6583624791E854CB88B9C-111335,In Stock,7900,Jay Strongwater,no,
SDH7286-244,June Turtle Birthstone Box,Celebrate your special someone’s day with a stand out Jay Strongwater keepsake. Hand-enameled turtle box hand-set with Swarovski crystals. ,https://www.jaystrongwater.com/great-gifts-1/june-turtle-birthstone-box-sdh7286-244,https://www.jaystrongwater.com/img/product/SDH7286-244_w-Z.jpg?fv=22B19976125EC68FCF6A0108C1F4B938-55343,In Stock,150,Jay Strongwater,no,
